No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
1675,1091,1371,0,0.204,0,903,,31,T1,3,,,,,,
1676,840,990,0,0.152,0,783,,31,T1,3,,,,,,
1677,854,1024,0,0.166,0,952,,31,T1,3,,,,,,
1678,701,1024,0,0.315,0,527,,31,T1,3,,,,,,
1679,812,1128,0,0.28,0,336,,31,T1,3,,,,,,
1680,642,853,0,0.247,0,638,,31,T1,3,,,,,,
1681,740,1069,0,0.308,0,711,,31,T1,3,,,,,,
1682,770,1348,0,0.429,0,761,,31,T1,3,,,,,,
1683,548,884,0,0.38,0,817,,31,T1,3,,,,,,
1685,447,965,0,0.537,0,499,,31,T1,3,,,,,,
1686,395,786,0,0.497,0,1014,,31,T1,3,,,,,,
1687,819,1663,0,0.508,0,567,,31,T1,3,,,,,,
1688,717,1503,0,0.523,0,632,,31,T1,3,,,,,,
1689,692,1253,0,0.448,0,824,,31,T1,3,,,,,,
1690,483,521,0,0.073,0,321,,31,T1,3,,,,,,
1691,417,861,0,0.516,0,828,,31,T1,3,,,,,,
1692,303,661,0,0.542,0,919,,31,T1,3,,,,,,
1693,440,1069,0,0.588,0,851,,31,T1,3,,,,,,
1694,399,964,0,0.586,0,803,,31,T1,3,,,,,,
1695,437,980,0,0.554,0,905,,31,T1,3,,,,,,
1697,478,1055,0,0.547,0,931,,28,T1,3,,,,,,
1698,509,1144,0,0.555,0,297,,28,T1,3,,,,,,
1699,424,951,0,0.554,0,892,,28,T1,3,,,,,,
1700,904,1203,0,0.249,0,862,,28,T1,3,,,,,,
1701,888,1017,0,0.127,0,490,,28,T1,3,,,,,,
1702,786,1101,0,0.286,0,962,,28,T1,3,,,,,,
1703,893,1116,0,0.2,0,536,,28,T1,3,,,,,,
1704,614,1021,0,0.399,0,598,,28,T1,3,,,,,,
1705,971,1565,0,0.38,0,712,,28,T1,3,,,,,,
1706,774,1271,0,0.391,0,911,,28,T1,3,,,,,,
1707,750,1182,0,0.365,0,761,,28,T1,3,,,,,,
1708,778,1388,0,0.439,0,830,,28,T1,3,,,,,,
1709,545,1389,0,0.608,0,487,,28,T1,3,,,,,,
1710,714,1665,0,0.571,0,564,,28,T1,3,,,,,,
1711,458,1017,0,0.55,0,995,,28,T1,3,,,,,,
1712,593,1312,0,0.548,0,818,,28,T1,3,,,,,,
1713,378,928,0,0.593,0,656,,28,T1,3,,,,,,
1714,495,1185,0,0.582,0,837,,28,T1,3,,,,,,
1715,425,1031,0,0.588,0,523,,28,T1,3,,,,,,
1716,472,1144,0,0.587,0,519,,28,T1,3,,,,,,
1717,395,995,0,0.603,0,842,,28,T1,3,,,,,,
1719,979,1170,0,0.163,0,768,,28,T1,3,,,,,,
1720,881,1674,0,0.474,0,542,,28,T1,3,,,,,,
1721,608,985,0,0.383,0,486,,28,T1,3,,,,,,
1722,705,930,0,0.242,0,666,,28,T1,3,,,,,,
1723,864,1787,0,0.517,0,572,,28,T1,3,,,,,,
1724,290,663,0,0.563,0,210,,28,T1,3,,,,,,
1725,415,1038,0,0.6,0,485,,28,T1,3,,,,,,
1726,564,1090,0,0.483,0,686,,28,T1,3,,,,,,
1727,416,945,0,0.56,0,929,,28,T1,3,,,,,,
1728,973,1279,0,0.239,0,352,,28,T1,3,,,,,,
1729,206,315,0,0.346,0,669,,28,T1,3,,,,,,
1730,726,1171,0,0.38,0,820,,28,T1,3,,,,,,
1731,526,717,0,0.266,0,769,,28,T1,3,,,,,,
1732,663,1001,0,0.338,0,621,,28,T1,3,,,,,,
1733,511,1287,0,0.603,0,1031,,28,T1,3,,,,,,
1734,545,1047,0,0.479,0,871,,28,T1,3,,,,,,
1735,683,1558,0,0.562,0,,,28,T1,3,,,,,,
1736,241,562,0,0.571,0,855,,28,T1,3,,,,,,
1737,427,1176,0,0.637,0,756,,28,T1,3,,,,,,
1738,505,1317,0,0.617,0,946,,28,T1,3,,,,,,
1740,580,1018,0,0.43,0,695D,,31,T1,3,,,,,,
1741,970,1368,0,0.291,0,557,,31,T1,3,,,,,,
1742,750,1101,0,0.319,0,93,,31,T1,3,,,,,,
1743,428,804,0,0.468,0,486,,31,T1,3,,,,,,
1744,557,691,0,0.194,0,521,,31,T1,3,,,,,,
1745,788,852,0,0.075,0,794,,31,T1,3,,,,,,
1746,924,1060,0,0.128,0,816,,31,T1,3,,,,,,
1748,717,1022,0,0.298,0,610,,31,T1,3,,,,,,
1749,911,1341,0,0.321,0,811,,31,T1,3,,,,,,
1750,800,985,0,0.188,0,791,,31,T1,3,,,,,,
1751,781,956,0,0.183,0,814,,31,T1,3,,,,,,
1752,941,1149,0,0.181,0,574,,31,T1,3,,,,,,
1753,288,498,0,0.422,0,617M,,31,T1,3,,,,,,
1754,845,1658,0,0.49,0,107,,31,T1,3,,,,,,
1755,437,527,0,0.171,0,468,,31,T1,3,,,,,,
1756,461,947,0,0.513,0,804,,31,T1,3,,,,,,
1757,612,1298,0,0.529,0,936,,31,T1,3,,,,,,
1758,618,1229,0,0.497,0,816,,31,T1,3,,,,,,
1759,613,1046,0,0.414,0,1022,,31,T1,3,,,,,,
1760,365,752,0,0.515,0,263,,31,T1,3,,,,,,
1761,483,1084,0,0.554,0,603,,31,T1,3,,,,,,
1762,513,1184,0,0.567,0,478,,31,T1,3,,,,,,
1763,548,1233,0,0.556,0,690,,31,T1,3,,,,,,
3673,208,372,0,0.441,0,903,31,31,T2,3,,,,,,
3674,215,334,0,0.356,0,294,28,31,T2,3,,,,,,
3675,243,430,0,0.435,0,21,28,31,T2,3,,,,,,
3676,773,930,0,0.169,0,890,31,31,T2,3,,,,,,
3677,426,469,0,0.092,0,783,31,31,T2,3,,,,,,
3678,675,917,0,0.264,0,711,31,31,T2,3,,,,,,
3679,365,536,0,0.319,0,992,31,31,T2,3,,,,,,
3680,619,1083,0,0.428,0,761,31,31,T2,3,,,,,,
3681,362,768,0,0.529,0,817,31,31,T2,3,,,,,,
3683,39,81,0,0.519,0,828,31,31,T2,3,,,,,,
3684,202,416,0,0.514,0,851,31,31,T2,3,,,,,,
3685,40,74,0,0.459,0,919,31,31,T2,3,,,,,,
3686,378,460,0,0.178,0,824,31,31,T2,3,,,,,,
3687,803,1162,0,0.309,0,632,31,31,T2,3,,,,,,
3688,268,522,0,0.487,0,567,31,31,T2,3,,,,,,
3689,45,69,0,0.348,0,1014,31,31,T2,3,,,,,,
3690,31,94,0,0.670,0,905,31,31,T2,3,,,,,,
3691,155,302,0,0.487,0,803,31,31,T2,3,,,,,,
3692,203,319,0,0.364,0,594,28,31,T2,3,,,,,,
3693,510,673,0,0.242,0,527,28,31,T2,3,,,,,,
3694,580,762,0,0.239,0,789,28,31,T2,3,,,,,,
3695,599,938,0,0.361,0,3556,28,31,T2,3,,,,,,
3696,321,490,0,0.345,0,638,28,31,T2,3,,,,,,
3697,309,566,0,0.454,0,499,28,31,T2,3,,,,,,
3698,34,79,0,0.570,0,321,28,31,T2,3,,,,,,
3702,321,789,0,0.593,0,892,28,28,T2,3,,,,,,
3703,371,872,0,0.575,0,297,28,28,T2,3,,,,,,
3704,424,920,0,0.539,0,931,28,28,T2,3,,,,,,
3705,834,1030,0,0.190,0,536,28,28,T2,3,,,,,,
3706,842,1225,0,0.313,0,598,28,28,T2,3,,,,,,
3707,651,894,0,0.272,0,712,28,28,T2,3,,,,,,
3708,559,1397,0,0.600,0,487,28,28,T2,3,,,,,,
3709,438,1204,0,0.636,0,519,28,28,T2,3,,,,,,
3710,456,1034,0,0.559,0,995,28,28,T2,3,,,,,,
3711,468,1127,0,0.585,0,523,28,28,T2,3,,,,,,
3712,606,1628,0,0.628,0,564,28,28,T2,3,,,,,,
3713,920,1112,0,0.173,0,962,31,28,T2,3,,,,,,
3714,673,1150,0,0.415,0,830,31,28,T2,3,,,,,,
3718,710,987,0,0.281,0,761,31,28,T2,3,,,,,,
3719,963,1247,0,0.228,0,862,31,28,T2,3,,,,,,
3720,829,963,0,0.139,0,490,31,28,T2,3,,,,,,
3721,747,1069,0,0.301,0,911,31,28,T2,3,,,,,,
3722,498,1101,0,0.548,0,818,31,28,T2,3,,,,,,
3723,444,1129,0,0.607,0,842,31,28,T2,3,,,,,,
3724,337,994,0,0.661,0,656,31,28,T2,3,,,,,,
3725,386,1029,0,0.625,0,837,31,28,T2,3,,,,,,
3729,30,73,0,0.589,0,468,28,28,T2,3,,,,,,
3730,651,755,0,0.138,0,107,28,28,T2,3,,,,,,
3731,80,146,0,0.452,0,617,28,28,T2,3,,,,,,
3732,209,390,0,0.464,0,603,28,28,T2,3,,,,,,
3733,95,149,0,0.362,0,263,28,28,T2,3,,,,,,
3734,131,232,0,0.435,0,1022,28,28,T2,3,,,,,,
