date,experiment,run,run.total,colony.id,species,site,timepoint,history,treatment,tank,chamber,channel,coral.vol,light.start,light.stop,light.temp,dark.start,dark.stop,dark.temp,light.level,surface.area,Notes,chamber.vol,Notes
20230919,three-spp,1,5,DLAB-F0903,DLAB,BB,Initial,Heated,Heated,5,11,11,7,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,10.727,NA,633,
20230919,three-spp,1,5,DLAB-E0021,DLAB,BB,Initial,Ambient,Heated,5,12,12,12.5,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,13.571,NA,627.5,
20230919,three-spp,2,6,DLAB-E0297,DLAB,BB,Initial,Ambient,Ambient,5,1,1,15.5,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,12.131,NA,624.5,
20230919,three-spp,2,6,DLAB-E0480,DLAB,BB,Initial,Heated,Heated,5,2,2,15,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,10.836,NA,625,Check SA
20230919,three-spp,2,6,DLAB-E0680,DLAB,BB,Initial,Heated,Ambient,5,3,3,16,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,13.504,NA,624,
20230919,three-spp,2,6,DLAB-E0695,DLAB,BB,Initial,Ambient,Heated,5,4,4,8,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,9.362,NA,632,
20230919,three-spp,2,6,BLNK-BL006,NA,NA,Initial,NA,NA,5,5,5,0,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,NA,NA,640,
20230919,three-spp,2,6,PAST-E0711,PAST,BB,Initial,Heated,Heated,5,6,6,22,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,19.25,NA,618,
20230919,three-spp,2,6,PAST-B0992,PAST,BB,Initial,Heated,Heated,5,7,7,32,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,20.25,NA,608,
20230919,three-spp,2,6,PAST-B0093,PAST,BB,Initial,Ambient,Heated,5,8,8,48,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,17.538,NA,592,
20230919,three-spp,2,6,PAST-A0557,PAST,BB,Initial,Ambient,Heated,5,9,9,23.5,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,15.321,NA,616.5,
20230919,three-spp,2,6,PAST-B0502,PAST,BB,Initial,Heated,NA,5,10,10,29.5,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,21.408,NA,610.5,Noticeable tissue death
20230919,three-spp,2,6,PAST-A0783,PAST,BB,Initial,Heated,Heated,5,11,11,22,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,10.252,NA,618,
20230919,three-spp,2,6,PAST-B0075,PAST,BB,Initial,Ambient,NA,5,12,12,39,12:00:00,12:20:00,28.8,12:21:00,12:41:00,28.8,NA,16.283,NA,601,
20230919,three-spp,3,7,PAST-B0862,PAST,BB,Initial,Heated,Ambient,5,1,1,37,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,17.3,NA,603,Check SA
20230919,three-spp,3,7,PAST-B0521,PAST,BB,Initial,Heated,Heated,5,2,2,33.5,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,19..964,NA,606.5,
20230919,three-spp,3,7,PAST-F0759,PAST,BB,Initial,Heated,NA,5,3,3,24.5,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,5.697,NA,615.5,"Unhealthy fragment, tissue death"
20230919,three-spp,3,7,PAST-C0820,PAST,BB,Initial,Heated,Ambient,5,4,4,36,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,12.393,NA,604,
20230919,three-spp,3,7,PAST-E0017,PAST,BB,Initial,Heated,NA,5,5,5,9.5,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,13.619,NA,630.5,
20230919,three-spp,3,7,PAST-D0655,PAST,BB,Initial,Heated,NA,5,6,6,17,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,17.61,NA,623,
20230919,three-spp,3,7,PAST-D0811,PAST,BB,Initial,Heated,Heated,5,7,7,15,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,15.304,NA,625,
20230919,three-spp,3,7,BLNK-BL007,NA,NA,Initial,NA,NA,5,8,8,0,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,NA,NA,640,
20230919,three-spp,3,7,PAST-D0542,PAST,BB,Initial,Ambient,Ambient,5,9,9,16.5,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,15.946,NA,623.5,Check SA
20230919,three-spp,3,7,PAST-E0189,PAST,BB,Initial,Ambient,NA,5,10,10,26,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,19.519,NA,614,
20230919,three-spp,3,7,PAST-D0193,PAST,BB,Initial,Ambient,NA,5,11,11,17,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,12.156,NA,623,
20230919,three-spp,3,7,PAST-D0911,PAST,BB,Initial,Heated,Ambient,5,12,12,25,13:17:00,13:37:00,28.9,13:38:00,13:58:00,28.9,NA,18.379,NA,615,
20230919,three-spp,4,8,PAST-E0712,PAST,BB,Initial,Ambient,Ambient,5,1,1,29,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,16.487,NA,611,
20230919,three-spp,4,8,PAST-C0794,PAST,BB,Initial,Heated,Heated,5,2,2,31,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,14.516,NA,609,
20230919,three-spp,4,8,PAST-D0527,PAST,BB,Initial,Ambient,Heated,5,3,3,28,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,13.939,NA,612,
20230919,three-spp,4,8,PAST-E0761,PAST,BB,Initial,Heated,Ambient,5,4,4,15,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,14.763,NA,625,
20230919,three-spp,4,8,PAST-C0816,PAST,BB,Initial,Heated,NA,5,5,5,18,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,16.647,NA,622,
20230919,three-spp,4,8,PAST-E0791,PAST,BB,Initial,Heated,Heated,5,6,6,15.5,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,16.039,NA,624.5,
20230919,three-spp,4,8,PAST-E0610,PAST,BB,Initial,Ambient,Heated,5,7,7,24,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,14.752,NA,616,
20230919,three-spp,4,8,PAST-E0968,PAST,BB,Initial,Heated,NA,5,8,8,19,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,15.547,NA,621,
20230919,three-spp,4,8,BLNK-BL008,NA,NA,Initial,NA,NA,5,9,9,0,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,NA,NA,640,
20230919,three-spp,4,8,PAST-E0769,PAST,BB,Initial,Heated,Ambient,5,10,10,20.5,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,13.199,NA,619.5,
20230919,three-spp,4,8,PAST-E0356,PAST,BB,Initial,Ambient,Heated,5,11,11,21.5,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,23.775,NA,618.5,
20230919,three-spp,4,8,PAST-F0666,PAST,BB,Initial,Ambient,Ambient,5,12,12,5,14:20:00,14:40:00,28.9,14:42:00,15:02:00,28.9,NA,12.689,NA,635,
