Site Name ,ODYLIGHT002
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15889


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

194,29/07/2023 , 10:54:10,7597,6271.8
195,29/07/2023 , 11:09:10,7640,6307.3
196,29/07/2023 , 11:24:10,8410,6942.9
197,29/07/2023 , 11:39:10,9444,7796.6
198,29/07/2023 , 11:54:10,7832,6465.8
199,29/07/2023 , 12:09:10,10261,8471
200,29/07/2023 , 12:24:10,10580,8734.4
201,29/07/2023 , 12:39:10,10824,8935.8
202,29/07/2023 , 12:54:10,11203,9248.7
203,29/07/2023 , 13:09:10,10427,8608.1
204,29/07/2023 , 13:24:10,9225,7615.8
205,29/07/2023 , 13:39:10,7102,5863.1
206,29/07/2023 , 13:54:10,5335,4404.4
207,29/07/2023 , 14:09:10,8286,6840.6
208,29/07/2023 , 14:24:10,11003,9083.6
209,29/07/2023 , 14:39:10,8859,7313.6
210,29/07/2023 , 14:54:10,8647,7138.6
211,29/07/2023 , 15:09:10,8763,7234.4
212,29/07/2023 , 15:24:10,7324,6046.4
213,29/07/2023 , 15:39:10,8287,6841.4
214,29/07/2023 , 15:54:10,7846,6477.3
215,29/07/2023 , 16:09:10,7518,6206.5
216,29/07/2023 , 16:24:10,7101,5862.3
217,29/07/2023 , 16:39:10,6488,5356.2
218,29/07/2023 , 16:54:10,5892,4864.2
219,29/07/2023 , 17:09:10,5282,4360.6
220,29/07/2023 , 17:24:10,4724,3899.9
221,29/07/2023 , 17:39:10,4200,3467.3
222,29/07/2023 , 17:54:10,3483,2875.4
223,29/07/2023 , 18:09:10,3149,2599.7
224,29/07/2023 , 18:24:10,2081,1718
225,29/07/2023 , 18:39:10,2042,1685.8
226,29/07/2023 , 18:54:10,1131,933.7
227,29/07/2023 , 19:09:10,1477,1219.3
228,29/07/2023 , 19:24:10,1183,976.6
229,29/07/2023 , 19:39:10,674,556.4
230,29/07/2023 , 19:54:10,335,276.6
231,29/07/2023 , 20:09:10,138,113.9
232,29/07/2023 , 20:24:10,48,39.6
233,29/07/2023 , 20:39:10,6,5
234,29/07/2023 , 20:54:10,0,0
235,29/07/2023 , 21:09:10,0,0
236,29/07/2023 , 21:24:10,0,0
237,29/07/2023 , 21:39:10,0,0
238,29/07/2023 , 21:54:10,0,0
239,29/07/2023 , 22:09:10,0,0
240,29/07/2023 , 22:24:10,0,0
241,29/07/2023 , 22:39:10,0,0
242,29/07/2023 , 22:54:10,0,0
243,29/07/2023 , 23:09:10,0,0
244,29/07/2023 , 23:24:10,0,0
245,29/07/2023 , 23:39:10,0,0
246,29/07/2023 , 23:54:10,0,0
247,30/07/2023 , 00:09:10,0,0
248,30/07/2023 , 00:24:10,0,0
249,30/07/2023 , 00:39:10,0,0
250,30/07/2023 , 00:54:10,0,0
251,30/07/2023 , 01:09:10,0,0
252,30/07/2023 , 01:24:10,0,0
253,30/07/2023 , 01:39:10,0,0
254,30/07/2023 , 01:54:10,0,0
255,30/07/2023 , 02:09:10,0,0
256,30/07/2023 , 02:24:10,0,0
257,30/07/2023 , 02:39:10,0,0
258,30/07/2023 , 02:54:10,0,0
259,30/07/2023 , 03:09:10,0,0
260,30/07/2023 , 03:24:10,0,0
261,30/07/2023 , 03:39:10,0,0
262,30/07/2023 , 03:54:10,0,0
263,30/07/2023 , 04:09:10,0,0
264,30/07/2023 , 04:24:10,0,0
265,30/07/2023 , 04:39:10,0,0
266,30/07/2023 , 04:54:10,0,0
267,30/07/2023 , 05:09:10,0,0
268,30/07/2023 , 05:24:10,0,0
269,30/07/2023 , 05:39:10,0,0
270,30/07/2023 , 05:54:10,0,0
271,30/07/2023 , 06:09:10,0,0
272,30/07/2023 , 06:24:10,2,1.7
273,30/07/2023 , 06:39:10,50,41.3
274,30/07/2023 , 06:54:10,172,142
275,30/07/2023 , 07:09:10,359,296.4
276,30/07/2023 , 07:24:10,588,485.4
277,30/07/2023 , 07:39:10,876,723.2
278,30/07/2023 , 07:54:10,1212,1000.6
279,30/07/2023 , 08:09:10,1568,1294.5
280,30/07/2023 , 08:24:10,1997,1648.6
281,30/07/2023 , 08:39:10,2452,2024.3
282,30/07/2023 , 08:54:10,2817,2325.6
283,30/07/2023 , 09:09:10,3645,3009.2
284,30/07/2023 , 09:24:10,3755,3100
285,30/07/2023 , 09:39:10,4630,3822.3
286,30/07/2023 , 09:54:10,5343,4411
287,30/07/2023 , 10:09:10,6034,4981.4
288,30/07/2023 , 10:24:10,6542,5400.8
289,30/07/2023 , 10:39:10,6984,5765.7
290,30/07/2023 , 10:54:10,7852,6482.3
291,30/07/2023 , 11:09:10,8426,6956.2
292,30/07/2023 , 11:24:10,9091,7505.1
293,30/07/2023 , 11:39:10,8950,7388.7
294,30/07/2023 , 11:54:10,9412,7770.2
295,30/07/2023 , 12:09:10,9889,8163.9
296,30/07/2023 , 12:24:10,10236,8450.4
297,30/07/2023 , 12:39:10,7917,6535.9
298,30/07/2023 , 12:54:10,11202,9247.9
299,30/07/2023 , 13:09:10,9352,7720.6
300,30/07/2023 , 13:24:10,9984,8242.4
301,30/07/2023 , 13:39:10,9675,7987.3
302,30/07/2023 , 13:54:10,10535,8697.3
303,30/07/2023 , 14:09:10,9825,8111.1
304,30/07/2023 , 14:24:10,10418,8600.7
305,30/07/2023 , 14:39:10,8181,6753.9
306,30/07/2023 , 14:54:10,9875,8152.4
307,30/07/2023 , 15:09:10,9534,7870.9
308,30/07/2023 , 15:24:10,9711,8017
309,30/07/2023 , 15:39:10,8808,7271.5
310,30/07/2023 , 15:54:10,8857,7312
311,30/07/2023 , 16:09:10,7698,6355.1
312,30/07/2023 , 16:24:10,7500,6191.7
313,30/07/2023 , 16:39:10,7120,5878
314,30/07/2023 , 16:54:10,6391,5276.1
315,30/07/2023 , 17:09:10,5518,4555.4
316,30/07/2023 , 17:24:10,3333,2751.6
317,30/07/2023 , 17:39:10,3635,3000.9
318,30/07/2023 , 17:54:10,3282,2709.5
319,30/07/2023 , 18:09:10,2844,2347.9
320,30/07/2023 , 18:24:10,2272,1875.7
321,30/07/2023 , 18:39:10,1917,1582.6
322,30/07/2023 , 18:54:10,1672,1380.3
323,30/07/2023 , 19:09:10,1632,1347.3
324,30/07/2023 , 19:24:10,1344,1109.5
325,30/07/2023 , 19:39:10,676,558.1
326,30/07/2023 , 19:54:10,295,243.5
327,30/07/2023 , 20:09:10,158,130.4
328,30/07/2023 , 20:24:10,59,48.7
329,30/07/2023 , 20:39:10,5,4.1
330,30/07/2023 , 20:54:10,0,0
331,30/07/2023 , 21:09:10,0,0
332,30/07/2023 , 21:24:10,0,0
333,30/07/2023 , 21:39:10,0,0
334,30/07/2023 , 21:54:10,0,0
335,30/07/2023 , 22:09:10,0,0
336,30/07/2023 , 22:24:10,0,0
337,30/07/2023 , 22:39:10,0,0
338,30/07/2023 , 22:54:10,0,0
339,30/07/2023 , 23:09:10,0,0
340,30/07/2023 , 23:24:10,0,0
341,30/07/2023 , 23:39:10,0,0
342,30/07/2023 , 23:54:10,0,0
343,31/07/2023 , 00:09:10,0,0
344,31/07/2023 , 00:24:10,0,0
345,31/07/2023 , 00:39:10,0,0
346,31/07/2023 , 00:54:10,0,0
347,31/07/2023 , 01:09:10,0,0
348,31/07/2023 , 01:24:10,0,0
349,31/07/2023 , 01:39:10,0,0
350,31/07/2023 , 01:54:10,0,0
351,31/07/2023 , 02:09:10,0,0
352,31/07/2023 , 02:24:10,0,0
353,31/07/2023 , 02:39:10,0,0
354,31/07/2023 , 02:54:10,0,0
355,31/07/2023 , 03:09:10,0,0
356,31/07/2023 , 03:24:10,0,0
357,31/07/2023 , 03:39:10,0,0
358,31/07/2023 , 03:54:10,0,0
359,31/07/2023 , 04:09:10,0,0
360,31/07/2023 , 04:24:10,0,0
361,31/07/2023 , 04:39:10,0,0
362,31/07/2023 , 04:54:10,0,0
363,31/07/2023 , 05:09:10,0,0
364,31/07/2023 , 05:24:10,0,0
365,31/07/2023 , 05:39:10,0,0
366,31/07/2023 , 05:54:10,0,0
367,31/07/2023 , 06:09:10,0,0
368,31/07/2023 , 06:24:10,2,1.7
369,31/07/2023 , 06:39:10,42,34.7
370,31/07/2023 , 06:54:10,157,129.6
371,31/07/2023 , 07:09:10,332,274.1
372,31/07/2023 , 07:24:10,558,460.7
373,31/07/2023 , 07:39:10,832,686.9
374,31/07/2023 , 07:54:10,1145,945.3
375,31/07/2023 , 08:09:10,1781,1470.3
376,31/07/2023 , 08:24:10,1884,1555.4
377,31/07/2023 , 08:39:10,2556,2110.1
378,31/07/2023 , 08:54:10,3199,2641
379,31/07/2023 , 09:09:10,3689,3045.5
380,31/07/2023 , 09:24:10,4161,3435.1
381,31/07/2023 , 09:39:10,4841,3996.5
382,31/07/2023 , 09:54:10,5477,4521.6
383,31/07/2023 , 10:09:10,6125,5056.5
384,31/07/2023 , 10:24:10,6730,5556
385,31/07/2023 , 10:39:10,7335,6055.5
386,31/07/2023 , 10:54:10,7777,6420.4
387,31/07/2023 , 11:09:10,8503,7019.7
388,31/07/2023 , 11:24:10,7531,6217.3
389,31/07/2023 , 11:39:10,9649,7965.8
390,31/07/2023 , 11:54:10,10113,8348.9
391,31/07/2023 , 12:09:10,10535,8697.3
392,31/07/2023 , 12:24:10,10656,8797.1
393,31/07/2023 , 12:39:10,11430,9436.1
394,31/07/2023 , 12:54:10,10444,8622.1
395,31/07/2023 , 13:09:10,11814,9753.1
396,31/07/2023 , 13:24:10,11418,9426.2
397,31/07/2023 , 13:39:10,10758,8881.4
398,31/07/2023 , 13:54:10,11781,9725.9
399,31/07/2023 , 14:09:10,11255,9291.7
400,31/07/2023 , 14:24:10,6000,4953.3
401,31/07/2023 , 14:39:10,3603,2974.5
402,31/07/2023 , 14:54:10,3698,3052.9
403,31/07/2023 , 15:09:10,4212,3477.2
404,31/07/2023 , 15:24:10,5684,4692.5
405,31/07/2023 , 15:39:10,5046,4165.8
406,31/07/2023 , 15:54:10,8767,7237.7
407,31/07/2023 , 16:09:10,8044,6640.8
408,31/07/2023 , 16:24:10,7235,5972.9
409,31/07/2023 , 16:39:10,6346,5239
410,31/07/2023 , 16:54:10,5678,4687.5
411,31/07/2023 , 17:09:10,4926,4066.7
412,31/07/2023 , 17:24:10,4659,3846.3
413,31/07/2023 , 17:39:10,4601,3798.4
414,31/07/2023 , 17:54:10,3631,2997.6
415,31/07/2023 , 18:09:10,2926,2415.6
416,31/07/2023 , 18:24:10,1287,1062.5
417,31/07/2023 , 18:39:10,1234,1018.7
418,31/07/2023 , 18:54:10,1308,1079.8
419,31/07/2023 , 19:09:10,1209,998.1
420,31/07/2023 , 19:24:10,806,665.4
421,31/07/2023 , 19:39:10,502,414.4
422,31/07/2023 , 19:54:10,243,200.6
423,31/07/2023 , 20:09:10,111,91.6
424,31/07/2023 , 20:24:10,34,28.1
425,31/07/2023 , 20:39:10,3,2.5
426,31/07/2023 , 20:54:10,0,0
427,31/07/2023 , 21:09:10,0,0
428,31/07/2023 , 21:24:10,0,0
429,31/07/2023 , 21:39:10,0,0
430,31/07/2023 , 21:54:10,0,0
431,31/07/2023 , 22:09:10,0,0
432,31/07/2023 , 22:24:10,0,0
433,31/07/2023 , 22:39:10,0,0
434,31/07/2023 , 22:54:10,0,0
435,31/07/2023 , 23:09:10,0,0
436,31/07/2023 , 23:24:10,0,0
437,31/07/2023 , 23:39:10,0,0
438,31/07/2023 , 23:54:10,0,0
439,01/08/2023 , 00:09:10,0,0
440,01/08/2023 , 00:24:10,0,0
441,01/08/2023 , 00:39:10,0,0
442,01/08/2023 , 00:54:10,0,0
443,01/08/2023 , 01:09:10,0,0
444,01/08/2023 , 01:24:10,0,0
445,01/08/2023 , 01:39:10,0,0
446,01/08/2023 , 01:54:10,0,0
447,01/08/2023 , 02:09:10,0,0
448,01/08/2023 , 02:24:10,0,0
449,01/08/2023 , 02:39:10,0,0
450,01/08/2023 , 02:54:10,0,0
451,01/08/2023 , 03:09:10,0,0
452,01/08/2023 , 03:24:10,0,0
453,01/08/2023 , 03:39:10,0,0
454,01/08/2023 , 03:54:10,0,0
455,01/08/2023 , 04:09:10,0,0
456,01/08/2023 , 04:24:10,0,0
457,01/08/2023 , 04:39:10,0,0
458,01/08/2023 , 04:54:10,0,0
459,01/08/2023 , 05:09:10,0,0
460,01/08/2023 , 05:24:10,0,0
461,01/08/2023 , 05:39:10,0,0
462,01/08/2023 , 05:54:10,0,0
463,01/08/2023 , 06:09:10,0,0
464,01/08/2023 , 06:24:10,0,0
465,01/08/2023 , 06:39:10,10,8.3
466,01/08/2023 , 06:54:10,45,37.2
467,01/08/2023 , 07:09:10,127,104.8
468,01/08/2023 , 07:24:10,202,166.8
469,01/08/2023 , 07:39:10,319,263.4
470,01/08/2023 , 07:54:10,406,335.2
471,01/08/2023 , 08:09:10,464,383.1
472,01/08/2023 , 08:24:10,642,530
473,01/08/2023 , 08:39:10,1050,866.8
474,01/08/2023 , 08:54:10,1483,1224.3
475,01/08/2023 , 09:09:10,1775,1465.4
476,01/08/2023 , 09:24:10,2100,1733.7
477,01/08/2023 , 09:39:10,2546,2101.9
478,01/08/2023 , 09:54:10,3577,2953
479,01/08/2023 , 10:09:10,5134,4238.4
480,01/08/2023 , 10:24:10,5017,4141.8
481,01/08/2023 , 10:39:10,6721,5548.6
482,01/08/2023 , 10:54:10,4888,4035.3
483,01/08/2023 , 11:09:10,4024,3322
484,01/08/2023 , 11:24:10,3825,3157.8
485,01/08/2023 , 11:39:10,4041,3336.1
486,01/08/2023 , 11:54:10,3832,3163.5
487,01/08/2023 , 12:09:10,4008,3308.8
488,01/08/2023 , 12:24:10,4384,3619.2
489,01/08/2023 , 12:39:10,4853,4006.4
490,01/08/2023 , 12:54:10,4393,3626.7
491,01/08/2023 , 13:09:10,3363,2776.4
492,01/08/2023 , 13:24:10,3880,3203.2
493,01/08/2023 , 13:39:10,5832,4814.7
494,01/08/2023 , 13:54:10,5054,4172.4
495,01/08/2023 , 14:09:10,4720,3896.6
496,01/08/2023 , 14:24:10,5938,4902.2
497,01/08/2023 , 14:39:10,5983,4939.3
498,01/08/2023 , 14:54:10,6142,5070.6
499,01/08/2023 , 15:09:10,5983,4939.3
500,01/08/2023 , 15:24:10,3686,3043
501,01/08/2023 , 15:39:10,3647,3010.8
502,01/08/2023 , 15:54:10,3402,2808.5
503,01/08/2023 , 16:09:10,3201,2642.6
504,01/08/2023 , 16:24:10,2893,2388.3
505,01/08/2023 , 16:39:10,3517,2903.5
506,01/08/2023 , 16:54:10,2485,2051.5
507,01/08/2023 , 17:09:10,2927,2416.4
508,01/08/2023 , 17:24:10,1170,965.9
509,01/08/2023 , 17:39:10,872,719.9
510,01/08/2023 , 17:54:10,1649,1361.3
511,01/08/2023 , 18:09:10,3154,2603.8
512,01/08/2023 , 18:24:10,1808,1492.6
513,01/08/2023 , 18:39:10,1606,1325.8
514,01/08/2023 , 18:54:10,1754,1448
515,01/08/2023 , 19:09:10,1303,1075.7
516,01/08/2023 , 19:24:10,1209,998.1
517,01/08/2023 , 19:39:10,749,618.3
518,01/08/2023 , 19:54:10,410,338.5
519,01/08/2023 , 20:09:10,179,147.8
520,01/08/2023 , 20:24:10,37,30.5
521,01/08/2023 , 20:39:10,3,2.5
522,01/08/2023 , 20:54:10,0,0
523,01/08/2023 , 21:09:10,0,0
524,01/08/2023 , 21:24:10,0,0
525,01/08/2023 , 21:39:10,0,0
526,01/08/2023 , 21:54:10,0,0
527,01/08/2023 , 22:09:10,0,0
528,01/08/2023 , 22:24:10,0,0
529,01/08/2023 , 22:39:10,0,0
530,01/08/2023 , 22:54:10,0,0
531,01/08/2023 , 23:09:10,0,0
532,01/08/2023 , 23:24:10,0,0
533,01/08/2023 , 23:39:10,0,0
534,01/08/2023 , 23:54:10,0,0
535,02/08/2023 , 00:09:10,0,0
536,02/08/2023 , 00:24:10,0,0
537,02/08/2023 , 00:39:10,0,0
538,02/08/2023 , 00:54:10,0,0
539,02/08/2023 , 01:09:10,0,0
540,02/08/2023 , 01:24:10,0,0
541,02/08/2023 , 01:39:10,0,0
542,02/08/2023 , 01:54:10,0,0
543,02/08/2023 , 02:09:10,0,0
544,02/08/2023 , 02:24:10,0,0
545,02/08/2023 , 02:39:10,0,0
