Site Name ,ODYLIGHT003
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15888


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

393,05/08/2023 , 18:15:00,1574,1246.3
394,05/08/2023 , 18:30:00,1836,1453.8
395,05/08/2023 , 18:45:00,1149,909.8
396,05/08/2023 , 19:00:00,849,672.3
397,05/08/2023 , 19:15:00,463,366.6
398,05/08/2023 , 19:30:00,309,244.7
399,05/08/2023 , 19:45:00,406,321.5
400,05/08/2023 , 20:00:00,254,201.1
401,05/08/2023 , 20:15:00,48,38
402,05/08/2023 , 20:30:00,4,3.2
403,05/08/2023 , 20:45:00,0,0
404,05/08/2023 , 21:00:00,0,0
405,05/08/2023 , 21:15:00,0,0
406,05/08/2023 , 21:30:00,0,0
407,05/08/2023 , 21:45:00,0,0
408,05/08/2023 , 22:00:00,0,0
409,05/08/2023 , 22:15:00,0,0
410,05/08/2023 , 22:30:00,0,0
411,05/08/2023 , 22:45:00,0,0
412,05/08/2023 , 23:00:00,0,0
413,05/08/2023 , 23:15:00,0,0
414,05/08/2023 , 23:30:00,0,0
415,05/08/2023 , 23:45:00,0,0
416,05/08/2023 , 24:00:00,0,0
417,06/08/2023 , 00:15:00,0,0
418,06/08/2023 , 00:30:00,0,0
419,06/08/2023 , 00:45:00,0,0
420,06/08/2023 , 01:00:00,0,0
421,06/08/2023 , 01:15:00,0,0
422,06/08/2023 , 01:30:00,0,0
423,06/08/2023 , 01:45:00,0,0
424,06/08/2023 , 02:00:00,0,0
425,06/08/2023 , 02:15:00,0,0
426,06/08/2023 , 02:30:00,0,0
427,06/08/2023 , 02:45:00,0,0
428,06/08/2023 , 03:00:00,0,0
429,06/08/2023 , 03:15:00,0,0
430,06/08/2023 , 03:30:00,0,0
431,06/08/2023 , 03:45:00,0,0
432,06/08/2023 , 04:00:00,0,0
433,06/08/2023 , 04:15:00,0,0
434,06/08/2023 , 04:30:00,0,0
435,06/08/2023 , 04:45:00,0,0
436,06/08/2023 , 05:00:00,0,0
437,06/08/2023 , 05:15:00,0,0
438,06/08/2023 , 05:30:00,0,0
439,06/08/2023 , 05:45:00,0,0
440,06/08/2023 , 06:00:00,0,0
441,06/08/2023 , 06:15:00,0,0
442,06/08/2023 , 06:30:00,0,0
443,06/08/2023 , 06:45:00,10,7.9
444,06/08/2023 , 07:00:00,41,32.5
445,06/08/2023 , 07:15:00,63,49.9
446,06/08/2023 , 07:30:00,81,64.1
447,06/08/2023 , 07:45:00,161,127.5
448,06/08/2023 , 08:00:00,127,100.6
449,06/08/2023 , 08:15:00,431,341.3
450,06/08/2023 , 08:30:00,650,514.7
451,06/08/2023 , 08:45:00,706,559
452,06/08/2023 , 09:00:00,630,498.9
453,06/08/2023 , 09:15:00,597,472.7
454,06/08/2023 , 09:30:00,1233,976.3
455,06/08/2023 , 09:45:00,1199,949.4
456,06/08/2023 , 10:00:00,1361,1077.7
457,06/08/2023 , 10:15:00,2045,1619.3
458,06/08/2023 , 10:30:00,2519,1994.6
459,06/08/2023 , 10:45:00,3800,3008.9
460,06/08/2023 , 11:00:00,3268,2587.7
461,06/08/2023 , 11:15:00,2855,2260.7
462,06/08/2023 , 11:30:00,4093,3241
463,06/08/2023 , 11:45:00,5131,4062.9
464,06/08/2023 , 12:00:00,4067,3220.4
465,06/08/2023 , 12:15:00,5781,4577.6
466,06/08/2023 , 12:30:00,7585,6006
467,06/08/2023 , 12:45:00,7177,5683
468,06/08/2023 , 13:00:00,3917,3101.6
469,06/08/2023 , 13:15:00,8944,7082.1
470,06/08/2023 , 13:30:00,9423,7461.4
471,06/08/2023 , 13:45:00,16112,12757.9
472,06/08/2023 , 14:00:00,13801,10928
473,06/08/2023 , 14:15:00,11456,9071.2
474,06/08/2023 , 14:30:00,14661,11609
475,06/08/2023 , 14:45:00,17081,13525.2
476,06/08/2023 , 15:00:00,9565,7573.8
477,06/08/2023 , 15:15:00,8287,6561.9
478,06/08/2023 , 15:30:00,9166,7257.9
479,06/08/2023 , 15:45:00,6027,4772.4
480,06/08/2023 , 16:00:00,6042,4784.2
481,06/08/2023 , 16:15:00,10178,8059.2
482,06/08/2023 , 16:30:00,8061,6382.9
483,06/08/2023 , 16:45:00,3814,3020
484,06/08/2023 , 17:00:00,6079,4813.5
485,06/08/2023 , 17:15:00,4569,3617.9
486,06/08/2023 , 17:30:00,2126,1683.4
487,06/08/2023 , 17:45:00,2084,1650.2
488,06/08/2023 , 18:00:00,2257,1787.2
489,06/08/2023 , 18:15:00,2160,1710.4
490,06/08/2023 , 18:30:00,2084,1650.2
491,06/08/2023 , 18:45:00,1675,1326.3
492,06/08/2023 , 19:00:00,1302,1031
493,06/08/2023 , 19:15:00,889,703.9
494,06/08/2023 , 19:30:00,633,501.2
495,06/08/2023 , 19:45:00,398,315.1
496,06/08/2023 , 20:00:00,170,134.6
497,06/08/2023 , 20:15:00,46,36.4
498,06/08/2023 , 20:30:00,4,3.2
