"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Coupler Detached (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
178,07/12/23 02:35:00 AM,27.764,0.0,,,,
179,07/12/23 02:40:00 AM,27.764,0.0,,,,
180,07/12/23 02:45:00 AM,27.764,0.0,,,,
181,07/12/23 02:50:00 AM,27.764,0.0,,,,
182,07/12/23 02:55:00 AM,27.764,0.0,,,,
183,07/12/23 03:00:00 AM,27.764,0.0,,,,
184,07/12/23 03:05:00 AM,27.764,0.0,,,,
185,07/12/23 03:10:00 AM,27.764,0.0,,,,
186,07/12/23 03:15:00 AM,27.764,0.0,,,,
187,07/12/23 03:20:00 AM,27.764,0.0,,,,
188,07/12/23 03:25:00 AM,27.764,0.0,,,,
189,07/12/23 03:30:00 AM,27.764,0.0,,,,
190,07/12/23 03:35:00 AM,27.764,0.0,,,,
191,07/12/23 03:40:00 AM,27.764,0.0,,,,
192,07/12/23 03:45:00 AM,27.764,0.0,,,,
193,07/12/23 03:50:00 AM,27.764,0.0,,,,
194,07/12/23 03:55:00 AM,27.764,0.0,,,,
195,07/12/23 04:00:00 AM,27.764,0.0,,,,
196,07/12/23 04:05:00 AM,27.764,0.0,,,,
197,07/12/23 04:10:00 AM,27.764,0.0,,,,
198,07/12/23 04:15:00 AM,27.764,0.0,,,,
199,07/12/23 04:20:00 AM,27.764,0.0,,,,
200,07/12/23 04:25:00 AM,27.764,0.0,,,,
201,07/12/23 04:30:00 AM,27.764,0.0,,,,
202,07/12/23 04:35:00 AM,27.764,0.0,,,,
203,07/12/23 04:40:00 AM,27.764,0.0,,,,
204,07/12/23 04:45:00 AM,27.764,0.0,,,,
205,07/12/23 04:50:00 AM,27.764,0.0,,,,
206,07/12/23 04:55:00 AM,27.764,0.0,,,,
207,07/12/23 05:00:00 AM,27.764,0.0,,,,
208,07/12/23 05:05:00 AM,27.764,0.0,,,,
209,07/12/23 05:10:00 AM,27.764,0.0,,,,
210,07/12/23 05:15:00 AM,27.764,0.0,,,,
211,07/12/23 05:20:00 AM,27.665,0.0,,,,
212,07/12/23 05:25:00 AM,27.665,0.0,,,,
213,07/12/23 05:30:00 AM,27.665,0.0,,,,
214,07/12/23 05:35:00 AM,27.665,0.0,,,,
215,07/12/23 05:40:00 AM,27.665,0.0,,,,
216,07/12/23 05:45:00 AM,27.665,0.0,,,,
217,07/12/23 05:50:00 AM,27.665,0.0,,,,
218,07/12/23 05:55:00 AM,27.665,0.0,,,,
